NWE_02x02
       i       j     height (m a.s.l.)
--------------------------------------------
       1       1     0.000000E+00
       1       2     0.000000E+00
       1       3     0.000000E+00
       1       4     0.000000E+00
       1       5     0.000000E+00
       1       6     0.000000E+00
       1       7     0.000000E+00
       1       8     0.000000E+00
       1       9     0.000000E+00
       1      10     0.000000E+00
       1      11     0.000000E+00
       1      12     0.000000E+00
       1      13     0.000000E+00
       1      14     0.000000E+00
       1      15     0.000000E+00
       1      16     0.000000E+00
       1      17     0.000000E+00
       1      18     0.000000E+00
       1      19     0.000000E+00
       1      20     0.000000E+00
       1      21     0.000000E+00
       1      22     0.000000E+00
       1      23     0.000000E+00
       1      24     0.000000E+00
       1      25     0.000000E+00
       1      26     0.000000E+00
       1      27     0.000000E+00
       1      28     0.000000E+00
       1      29     0.000000E+00
       1      30     0.000000E+00
       1      31     0.000000E+00
       1      32     0.000000E+00
       1      33     0.000000E+00
       1      34     0.000000E+00
       1      35     0.000000E+00
       1      36     0.000000E+00
       1      37     0.000000E+00
       1      38     0.000000E+00
       1      39     0.000000E+00
       1      40     0.000000E+00
       1      41     0.000000E+00
       1      42     0.000000E+00
       1      43     0.000000E+00
       1      44     0.000000E+00
       1      45     0.000000E+00
       1      46     0.000000E+00
       1      47     0.000000E+00
       1      48     0.000000E+00
       1      49     0.000000E+00
       1      50     0.000000E+00
       1      51     0.000000E+00
       1      52     0.000000E+00
       1      53     0.000000E+00
       1      54     0.000000E+00
       1      55     0.000000E+00
       1      56     0.000000E+00
       1      57     0.000000E+00
       1      58     0.000000E+00
       1      59     0.000000E+00
       1      60     0.000000E+00
       1      61     0.000000E+00
       1      62     0.000000E+00
       1      63     0.000000E+00
       1      64     0.000000E+00
       1      65     0.000000E+00
       1      66     0.000000E+00
       1      67     0.000000E+00
       1      68     0.000000E+00
       1      69     0.000000E+00
       1      70     0.000000E+00
       1      71     0.000000E+00
       1      72     0.000000E+00
       1      73     0.000000E+00
       1      74     0.000000E+00
       1      75     0.000000E+00
       1      76     0.000000E+00
       1      77     0.000000E+00
       1      78     0.000000E+00
       1      79     0.000000E+00
       1      80     0.000000E+00
       1      81     0.000000E+00
       1      82     0.000000E+00
       1      83     0.000000E+00
       1      84     6.463990E-03
       1      85     2.281930E-04
       1      86     0.000000E+00
       1      87     0.000000E+00
       1      88     0.000000E+00
       1      89     8.561070E-04
       1      90     2.365830E-03
       1      91     0.000000E+00
       1      92     0.000000E+00
       1      93     0.000000E+00
       1      94     0.000000E+00
       1      95     0.000000E+00
       1      96     0.000000E+00
       1      97     0.000000E+00
       1      98     0.000000E+00
       1      99     0.000000E+00
       1     100     0.000000E+00
       1     101     0.000000E+00
       1     102     0.000000E+00
       1     103     0.000000E+00
       1     104     0.000000E+00
